"id","exchange_id","rate_close","rate_high","rate_low","rate_open","time_close","time_open","time_period_end","time_period_start"
86318,"BTC","26866.040828477","26889.950958813","26861.977983819","26880.389079012","2023-05-21 18:29:00+00","2023-05-21 18:00:00+00","2023-05-21 18:30:00+00","2023-05-21 18:00:00+00"
86319,"BTC","26882.442515846","26902.705210559","26856.921086119","26876.631065167","2023-05-21 18:59:00+00","2023-05-21 18:30:00+00","2023-05-21 19:00:00+00","2023-05-21 18:30:00+00"
86320,"BTC","26879.663709451","26891.238290725","26870.858751711","26879.449541895","2023-05-21 19:29:00+00","2023-05-21 19:00:00+00","2023-05-21 19:30:00+00","2023-05-21 19:00:00+00"
86321,"BTC","26909.695105234","26914.936947709","26885.017538264","26885.017538264","2023-05-21 19:59:00+00","2023-05-21 19:30:00+00","2023-05-21 20:00:00+00","2023-05-21 19:30:00+00"
86322,"BTC","26897.754292182","26922.595613362","26893.529724106","26909.402793507","2023-05-21 20:29:00+00","2023-05-21 20:00:00+00","2023-05-21 20:30:00+00","2023-05-21 20:00:00+00"
86323,"BTC","26850.469890218","26898.056954692","26841.865687299","26897.805162519","2023-05-21 20:59:00+00","2023-05-21 20:30:00+00","2023-05-21 21:00:00+00","2023-05-21 20:30:00+00"
86324,"BTC","26750.907812761","26852.617162580","26701.625695074","26849.814595978","2023-05-21 21:29:00+00","2023-05-21 21:00:00+00","2023-05-21 21:30:00+00","2023-05-21 21:00:00+00"
86325,"BTC","26760.418797397","26800.023869254","26714.260096269","26714.260096269","2023-05-21 21:59:00+00","2023-05-21 21:30:00+00","2023-05-21 22:00:00+00","2023-05-21 21:30:00+00"
86326,"BTC","26768.481791881","26799.442330812","26757.138976231","26757.138976231","2023-05-21 22:29:00+00","2023-05-21 22:00:00+00","2023-05-21 22:30:00+00","2023-05-21 22:00:00+00"
86327,"BTC","26775.575765651","26792.813817317","26755.388490173","26760.989562703","2023-05-21 22:59:00+00","2023-05-21 22:30:00+00","2023-05-21 23:00:00+00","2023-05-21 22:30:00+00"
86328,"BTC","26795.564889411","26804.386202951","26762.432414379","26762.432414379","2023-05-21 23:29:00+00","2023-05-21 23:00:00+00","2023-05-21 23:30:00+00","2023-05-21 23:00:00+00"
86329,"BTC","26756.668689876","26793.158955531","26745.881940415","26791.678150655","2023-05-21 23:59:00+00","2023-05-21 23:30:00+00","2023-05-22 00:00:00+00","2023-05-21 23:30:00+00"
86762,"BTC","26699.808588992","26785.458838226","26699.808588992","26753.700718467","2023-05-22 00:29:00+00","2023-05-22 00:00:00+00","2023-05-22 00:30:00+00","2023-05-22 00:00:00+00"
86763,"BTC","26658.528355497","26702.710267770","26582.761176413","26702.710267770","2023-05-22 00:59:00+00","2023-05-22 00:30:00+00","2023-05-22 01:00:00+00","2023-05-22 00:30:00+00"
86764,"BTC","26663.301991376","26687.359855248","26597.438199405","26656.375641459","2023-05-22 01:29:00+00","2023-05-22 01:00:00+00","2023-05-22 01:30:00+00","2023-05-22 01:00:00+00"
86765,"BTC","26580.784905707","26670.536524932","26580.055423079","26670.536524932","2023-05-22 01:59:00+00","2023-05-22 01:30:00+00","2023-05-22 02:00:00+00","2023-05-22 01:30:00+00"
86766,"BTC","26647.015584686","26648.861396568","26554.518420465","26587.103730788","2023-05-22 02:29:00+00","2023-05-22 02:00:00+00","2023-05-22 02:30:00+00","2023-05-22 02:00:00+00"
86767,"BTC","26648.849908554","26656.684749914","26640.936764239","26642.218069149","2023-05-22 02:59:00+00","2023-05-22 02:30:00+00","2023-05-22 03:00:00+00","2023-05-22 02:30:00+00"
86768,"BTC","26661.824732552","26664.625458813","26639.175361910","26650.425397300","2023-05-22 03:29:00+00","2023-05-22 03:00:00+00","2023-05-22 03:30:00+00","2023-05-22 03:00:00+00"
86769,"BTC","26647.621675957","26675.928104214","26645.696011183","26663.781961433","2023-05-22 03:59:00+00","2023-05-22 03:30:00+00","2023-05-22 04:00:00+00","2023-05-22 03:30:00+00"
86770,"BTC","26681.966301245","26681.966301245","26647.021584911","26648.803088890","2023-05-22 04:29:00+00","2023-05-22 04:00:00+00","2023-05-22 04:30:00+00","2023-05-22 04:00:00+00"
86771,"BTC","26701.496408509","26721.527318090","26684.764865676","26689.606599021","2023-05-22 04:59:00+00","2023-05-22 04:30:00+00","2023-05-22 05:00:00+00","2023-05-22 04:30:00+00"
